,Close,Signal,capital,shares,daily_pnl
0,20.020000457763672,-1.0,100000.0,0,0.0
1,20.020000457763672,-1.0,100000.0,0,0.0
2,19.3799991607666,-1.0,100000.0,0,0.0
3,20.540000915527344,-1.0,100000.0,0,0.0
4,20.729999542236328,-1.0,100000.0,0,0.0
5,20.719999313354492,-1.0,100000.0,0,0.0
6,20.399999618530273,-1.0,100000.0,0,0.0
7,20.709999084472656,-1.0,100000.0,0,0.0
8,20.329999923706055,-1.0,100000.0,0,0.0
9,20.6200008392334,-1.0,100000.0,0,0.0
10,20.84000015258789,-1.0,100000.0,0,0.0
11,20.780000686645508,-1.0,100000.0,0,0.0
12,20.15999984741211,-1.0,100000.0,0,0.0
13,19.889999389648438,-1.0,100000.0,0,0.0
14,19.75,-1.0,100000.0,0,0.0
15,19.06999969482422,-1.0,100000.0,0,0.0
16,19.309999465942383,-1.0,100000.0,0,0.0
17,19.280000686645508,-1.0,100000.0,0,0.0
18,19.559999465942383,-1.0,100000.0,0,0.0
19,19.1299991607666,-1.0,100000.0,0,0.0
20,19.209999084472656,-1.0,100000.0,0,0.0
21,19.18000030517578,-1.0,100000.0,0,0.0
22,20.139999389648438,-1.0,100000.0,0,0.0
23,20.260000228881836,-1.0,100000.0,0,0.0
24,20.360000610351562,-1.0,100000.0,0,0.0
25,19.959999084472656,-1.0,100000.0,0,0.0
26,20.09000015258789,-1.0,100000.0,0,0.0
27,20.84000015258789,-1.0,100000.0,0,0.0
28,21.229999542236328,-1.0,100000.0,0,0.0
29,21.170000076293945,-1.0,100000.0,0,0.0
30,21.489999771118164,-1.0,100000.0,0,0.0
31,21.84000015258789,-1.0,100000.0,0,0.0
32,21.600000381469727,-1.0,100000.0,0,0.0
33,21.579999923706055,-1.0,100000.0,0,0.0
34,21.200000762939453,-1.0,100000.0,0,0.0
35,21.09000015258789,-1.0,100000.0,0,0.0
36,21.25,-1.0,100000.0,0,0.0
37,20.959999084472656,-1.0,100000.0,0,0.0
38,20.6200008392334,-1.0,100000.0,0,0.0
39,20.360000610351562,-1.0,100000.0,0,0.0
40,19.829999923706055,-1.0,100000.0,0,0.0
41,19.90999984741211,-1.0,100000.0,0,0.0
42,19.799999237060547,-1.0,100000.0,0,0.0
43,19.799999237060547,-1.0,100000.0,0,0.0
44,19.81999969482422,-1.0,100000.0,0,0.0
45,19.540000915527344,-1.0,100000.0,0,0.0
46,19.59000015258789,-1.0,100000.0,0,0.0
47,19.6299991607666,-1.0,100000.0,0,0.0
48,19.59000015258789,-1.0,100000.0,0,0.0
49,19.959999084472656,-1.0,100000.0,0,0.0
50,18.899999618530273,-1.0,100000.0,0,0.0
51,19.020000457763672,-1.0,100000.0,0,0.0
52,18.770000457763672,-1.0,100000.0,0,0.0
53,18.489999771118164,-1.0,100000.0,0,0.0
54,17.959999084472656,-1.0,100000.0,0,0.0
55,17.1200008392334,-1.0,100000.0,0,0.0
56,18.020000457763672,-1.0,100000.0,0,0.0
57,17.969999313354492,-1.0,100000.0,0,0.0
58,18.290000915527344,-1.0,100000.0,0,0.0
59,18.260000228881836,-1.0,100000.0,0,0.0
60,18.93000030517578,-1.0,100000.0,0,0.0
61,18.5,-1.0,100000.0,0,0.0
62,18.350000381469727,-1.0,100000.0,0,0.0
63,18.469999313354492,-1.0,100000.0,0,0.0
64,18.239999771118164,-1.0,100000.0,0,0.0
65,18.489999771118164,-1.0,100000.0,0,0.0
66,18.3700008392334,-1.0,100000.0,0,0.0
67,18.809999465942383,-1.0,100000.0,0,0.0
68,18.950000762939453,-1.0,100000.0,0,0.0
69,19.229999542236328,-1.0,100000.0,0,0.0
70,19.030000686645508,-1.0,100000.0,0,0.0
71,18.790000915527344,-1.0,100000.0,0,0.0
72,19.1200008392334,-1.0,100000.0,0,0.0
73,19.420000076293945,-1.0,100000.0,0,0.0
74,19.280000686645508,-1.0,100000.0,0,0.0
75,19.1200008392334,-1.0,100000.0,0,0.0
76,18.59000015258789,-1.0,100000.0,0,0.0
77,18.110000610351562,-1.0,100000.0,0,0.0
78,18.1299991607666,-1.0,100000.0,0,0.0
79,18.170000076293945,-1.0,100000.0,0,0.0
80,17.760000228881836,-1.0,100000.0,0,0.0
81,17.65999984741211,-1.0,100000.0,0,0.0
82,17.459999084472656,-1.0,100000.0,0,0.0
83,18.0,-1.0,100000.0,0,0.0
84,18.209999084472656,-1.0,100000.0,0,0.0
85,17.93000030517578,-1.0,100000.0,0,0.0
86,17.860000610351562,-1.0,100000.0,0,0.0
87,17.790000915527344,-1.0,100000.0,0,0.0
88,17.360000610351562,-1.0,100000.0,0,0.0
89,16.75,-1.0,100000.0,0,0.0
90,16.309999465942383,-1.0,100000.0,0,0.0
91,16.34000015258789,-1.0,100000.0,0,0.0
92,16.920000076293945,-1.0,100000.0,0,0.0
93,16.979999542236328,-1.0,100000.0,0,0.0
94,16.8799991607666,-1.0,100000.0,0,0.0
95,16.520000457763672,-1.0,100000.0,0,0.0
96,16.3700008392334,-1.0,100000.0,0,0.0
97,16.149999618530273,-1.0,100000.0,0,0.0
98,16.190000534057617,-1.0,100000.0,0,0.0
99,16.110000610351562,-1.0,100000.0,0,0.0
100,16.110000610351562,-1.0,100000.0,0,0.0
101,17.030000686645508,-1.0,100000.0,0,0.0
102,16.940000534057617,-1.0,100000.0,0,0.0
103,17.170000076293945,-1.0,100000.0,0,0.0
104,17.43000030517578,-1.0,100000.0,0,0.0
105,17.030000686645508,-1.0,100000.0,0,0.0
106,16.959999084472656,-1.0,100000.0,0,0.0
107,17.260000228881836,-1.0,100000.0,0,0.0
108,16.8799991607666,-1.0,100000.0,0,0.0
109,17.329999923706055,-1.0,100000.0,0,0.0
110,17.399999618530273,-1.0,100000.0,0,0.0
111,17.950000762939453,-1.0,100000.0,0,0.0
112,17.190000534057617,-1.0,100000.0,0,0.0
113,16.850000381469727,-1.0,100000.0,0,0.0
114,17.170000076293945,-1.0,100000.0,0,0.0
115,17.15999984741211,-1.0,100000.0,0,0.0
116,17.149999618530273,-1.0,100000.0,0,0.0
117,17.520000457763672,-1.0,100000.0,0,0.0
118,17.8700008392334,-1.0,100000.0,0,0.0
119,18.09000015258789,-1.0,100000.0,0,0.0
120,18.81999969482422,-1.0,100000.0,0,0.0
121,18.690000534057617,-1.0,100000.0,0,0.0
122,18.420000076293945,-1.0,100000.0,0,0.0
123,18.43000030517578,-1.0,100000.0,0,0.0
124,17.770000457763672,-1.0,100000.0,0,0.0
125,18.09000015258789,-1.0,100000.0,0,0.0
126,17.989999771118164,-1.0,100000.0,0,0.0
127,17.719999313354492,-1.0,100000.0,0,0.0
128,17.719999313354492,-1.0,100000.0,0,0.0
129,17.729999542236328,-1.0,100000.0,0,0.0
130,17.93000030517578,-1.0,100000.0,0,0.0
131,18.270000457763672,-1.0,100000.0,0,0.0
132,18.229999542236328,-1.0,100000.0,0,0.0
133,20.020000457763672,-1.0,100000.0,0,0.0
134,20.40999984741211,-1.0,100000.0,0,0.0
135,20.8700008392334,-1.0,100000.0,0,0.0
136,20.959999084472656,-1.0,100000.0,0,0.0
137,21.510000228881836,-1.0,100000.0,0,0.0
138,21.549999237060547,-1.0,100000.0,0,0.0
139,21.200000762939453,-1.0,100000.0,0,0.0
140,20.81999969482422,-1.0,100000.0,0,0.0
141,20.979999542236328,-1.0,100000.0,0,0.0
142,20.969999313354492,-1.0,100000.0,0,0.0
143,21.149999618530273,-1.0,100000.0,0,0.0
144,20.989999771118164,-1.0,100000.0,0,0.0
145,21.1299991607666,-1.0,100000.0,0,0.0
146,21.110000610351562,-1.0,100000.0,0,0.0
147,21.309999465942383,-1.0,100000.0,0,0.0
148,21.479999542236328,-1.0,100000.0,0,0.0
149,23.280000686645508,-1.0,100000.0,0,0.0
150,20.860000610351562,-1.0,100000.0,0,0.0
151,21.139999389648438,-1.0,100000.0,0,0.0
152,20.93000030517578,-1.0,100000.0,0,0.0
153,20.850000381469727,-1.0,100000.0,0,0.0
154,21.020000457763672,-1.0,100000.0,0,0.0
155,20.829999923706055,-1.0,100000.0,0,0.0
156,20.709999084472656,-1.0,100000.0,0,0.0
157,20.420000076293945,-1.0,100000.0,0,0.0
158,20.15999984741211,-1.0,100000.0,0,0.0
159,20.239999771118164,-1.0,100000.0,0,0.0
160,19.940000534057617,-1.0,100000.0,0,0.0
161,19.889999389648438,-1.0,100000.0,0,0.0
162,19.40999984741211,-1.0,100000.0,0,0.0
163,19.729999542236328,1.0,8.362319946289062,5068,0.0
164,19.8799991607666,1.0,8.362319946289062,5068,0.0
165,19.969999313354492,1.0,8.362319946289062,5068,0.0
166,20.229999542236328,1.0,8.362319946289062,5068,0.0
167,20.079999923706055,1.0,8.362319946289062,5068,0.0
168,20.18000030517578,1.0,8.362319946289062,5068,0.0
169,20.34000015258789,1.0,8.362319946289062,5068,0.0
170,20.43000030517578,1.0,8.362319946289062,5068,0.0
171,20.280000686645508,1.0,8.362319946289062,5068,0.0
172,20.149999618530273,1.0,8.362319946289062,5068,0.0
173,20.049999237060547,1.0,8.362319946289062,5068,0.0
174,20.0,1.0,8.362319946289062,5068,0.0
175,20.0,1.0,8.362319946289062,5068,0.0
176,19.90999984741211,1.0,8.362319946289062,5068,0.0
177,19.809999465942383,1.0,8.362319946289062,5068,0.0
178,19.65999984741211,1.0,8.362319946289062,5068,0.0
179,19.989999771118164,1.0,8.362319946289062,5068,0.0
180,20.459999084472656,1.0,8.362319946289062,5068,0.0
181,20.239999771118164,1.0,8.362319946289062,5068,0.0
182,20.139999389648438,1.0,8.362319946289062,5068,0.0
183,20.170000076293945,1.0,8.362319946289062,5068,0.0
184,20.15999984741211,1.0,8.362319946289062,5068,0.0
185,19.989999771118164,1.0,8.362319946289062,5068,0.0
186,19.899999618530273,1.0,8.362319946289062,5068,0.0
187,20.010000228881836,1.0,8.362319946289062,5068,0.0
188,19.600000381469727,1.0,8.362319946289062,5068,0.0
189,19.329999923706055,1.0,8.362319946289062,5068,0.0
190,19.399999618530273,1.0,8.362319946289062,5068,0.0
191,19.219999313354492,1.0,8.362319946289062,5068,0.0
192,18.920000076293945,1.0,8.362319946289062,5068,0.0
193,18.600000381469727,1.0,8.362319946289062,5068,0.0
194,18.889999389648438,1.0,8.362319946289062,5068,0.0
195,18.860000610351562,1.0,8.362319946289062,5068,0.0
196,18.729999542236328,1.0,8.362319946289062,5068,0.0
197,18.770000457763672,1.0,8.362319946289062,5068,0.0
198,18.540000915527344,1.0,8.362319946289062,5068,0.0
199,18.770000457763672,1.0,8.362319946289062,5068,0.0
200,18.719999313354492,1.0,8.362319946289062,5068,0.0
201,18.829999923706055,1.0,8.362319946289062,5068,0.0
202,18.780000686645508,1.0,8.362319946289062,5068,0.0
203,19.09000015258789,1.0,8.362319946289062,5068,0.0
204,19.350000381469727,1.0,8.362319946289062,5068,0.0
205,19.360000610351562,1.0,8.362319946289062,5068,0.0
206,19.43000030517578,1.0,8.362319946289062,5068,0.0
207,19.280000686645508,1.0,8.362319946289062,5068,0.0
208,19.549999237060547,1.0,8.362319946289062,5068,0.0
209,18.950000762939453,1.0,8.362319946289062,5068,0.0
210,18.68000030517578,1.0,8.362319946289062,5068,0.0
211,19.100000381469727,1.0,8.362319946289062,5068,0.0
212,19.549999237060547,1.0,8.362319946289062,5068,0.0
213,19.549999237060547,1.0,8.362319946289062,5068,0.0
214,20.350000381469727,1.0,8.362319946289062,5068,0.0
215,20.290000915527344,1.0,8.362319946289062,5068,0.0
216,20.440000534057617,1.0,8.362319946289062,5068,0.0
217,20.18000030517578,1.0,8.362319946289062,5068,0.0
218,20.34000015258789,1.0,8.362319946289062,5068,0.0
219,20.770000457763672,1.0,8.362319946289062,5068,0.0
220,20.979999542236328,1.0,8.362319946289062,5068,0.0
221,20.860000610351562,1.0,8.362319946289062,5068,0.0
222,21.010000228881836,1.0,8.362319946289062,5068,0.0
223,21.010000228881836,1.0,8.362319946289062,5068,0.0
224,21.149999618530273,1.0,8.362319946289062,5068,0.0
225,21.06999969482422,1.0,8.362319946289062,5068,0.0
226,21.170000076293945,1.0,8.362319946289062,5068,0.0
227,21.209999084472656,1.0,8.362319946289062,5068,0.0
228,21.3799991607666,1.0,8.362319946289062,5068,0.0
229,21.190000534057617,1.0,8.362319946289062,5068,0.0
230,21.350000381469727,1.0,8.362319946289062,5068,0.0
231,20.969999313354492,1.0,8.362319946289062,5068,0.0
232,21.040000915527344,1.0,8.362319946289062,5068,0.0
233,21.25,1.0,8.362319946289062,5068,0.0
234,21.760000228881836,1.0,8.362319946289062,5068,0.0
235,21.850000381469727,1.0,8.362319946289062,5068,0.0
236,21.93000030517578,1.0,8.362319946289062,5068,0.0
237,22.219999313354492,1.0,8.362319946289062,5068,0.0
238,22.040000915527344,1.0,8.362319946289062,5068,0.0
239,22.420000076293945,1.0,8.362319946289062,5068,0.0
240,24.0,1.0,8.362319946289062,5068,0.0
241,24.030000686645508,1.0,8.362319946289062,5068,0.0
242,23.31999969482422,1.0,8.362319946289062,5068,0.0
243,23.31999969482422,1.0,8.362319946289062,5068,0.0
244,23.1200008392334,1.0,8.362319946289062,5068,0.0
245,22.25,1.0,8.362319946289062,5068,0.0
246,22.639999389648438,1.0,8.362319946289062,5068,0.0
247,22.75,1.0,8.362319946289062,5068,0.0
248,22.719999313354492,1.0,8.362319946289062,5068,0.0
249,22.670000076293945,1.0,8.362319946289062,5068,0.0
250,22.770000457763672,1.0,8.362319946289062,5068,0.0
251,22.729999542236328,1.0,8.362319946289062,5068,0.0
252,22.690000534057617,1.0,8.362319946289062,5068,0.0
253,22.229999542236328,1.0,8.362319946289062,5068,0.0
254,22.739999771118164,1.0,8.362319946289062,5068,0.0
255,22.969999313354492,1.0,8.362319946289062,5068,0.0
256,23.020000457763672,1.0,8.362319946289062,5068,0.0
