,Close,Signal,capital,shares
0,948.7008056640625,1.0,15000.0,0
1,927.6753540039062,1.0,157.1943359375,16
2,946.5249633789062,1.0,157.1943359375,16
3,926.293701171875,1.0,157.1943359375,16
4,931.6723022460938,1.0,157.1943359375,16
5,920.4217529296875,1.0,157.1943359375,16
6,931.5242919921875,1.0,157.1943359375,16
7,894.861328125,1.0,157.1943359375,16
8,906.85205078125,1.0,157.1943359375,16
9,929.4024047851562,1.0,157.1943359375,16
10,930.6853637695312,1.0,157.1943359375,16
11,940.7023315429688,1.0,157.1943359375,16
12,888.1011962890625,1.0,157.1943359375,16
13,880.600830078125,1.0,157.1943359375,16
14,884.104248046875,1.0,157.1943359375,16
15,847.8854370117188,1.0,157.1943359375,16
16,784.77392578125,1.0,157.1943359375,16
17,811.864013671875,1.0,157.1943359375,16
18,814.1338500976562,1.0,157.1943359375,16
19,813.0482788085938,1.0,157.1943359375,16
20,811.6666870117188,1.0,157.1943359375,16
21,810.7291259765625,1.0,157.1943359375,16
22,828.73974609375,1.0,157.1943359375,16
23,844.6780395507812,1.0,157.1943359375,16
24,850.10595703125,1.0,157.1943359375,16
25,856.1259765625,1.0,157.1943359375,16
26,864.218505859375,1.0,157.1943359375,16
27,871.9161987304688,1.0,157.1943359375,16
28,877.64013671875,1.0,157.1943359375,16
29,867.820556640625,1.0,157.1943359375,16
30,858.4945068359375,1.0,157.1943359375,16
31,833.476806640625,1.0,157.1943359375,16
32,809.7915649414062,1.0,157.1943359375,16
33,797.4554443359375,1.0,157.1943359375,16
34,789.1655883789062,1.0,157.1943359375,16
35,785.7114868164062,1.0,157.1943359375,16
36,797.8009033203125,1.0,157.1943359375,16
37,802.4885864257812,1.0,157.1943359375,16
38,797.1100463867188,1.0,157.1943359375,16
39,789.510986328125,1.0,157.1943359375,16
40,787.2904663085938,1.0,157.1943359375,16
41,772.240478515625,1.0,157.1943359375,16
42,791.68212890625,1.0,157.1943359375,16
43,787.6358642578125,1.0,157.1943359375,16
44,783.8363647460938,1.0,157.1943359375,16
45,783.9844360351562,1.0,157.1943359375,16
46,785.61279296875,1.0,157.1943359375,16
47,779.148681640625,1.0,157.1943359375,16
48,786.7477416992188,1.0,157.1943359375,16
49,786.5996704101562,1.0,157.1943359375,16
50,783.7869873046875,1.0,157.1943359375,16
51,780.7770385742188,1.0,157.1943359375,16
52,761.8287963867188,1.0,157.1943359375,16
53,765.480224609375,1.0,157.1943359375,16
54,749.6900024414062,1.0,157.1943359375,16
55,757.23974609375,1.0,157.1943359375,16
56,767.0592651367188,1.0,157.1943359375,16
57,767.0099487304688,1.0,157.1943359375,16
58,771.6483154296875,1.0,157.1943359375,16
59,782.8988037109375,1.0,157.1943359375,16
60,785.9088134765625,1.0,157.1943359375,16
61,783.9349975585938,1.0,157.1943359375,16
62,794.9389038085938,1.0,157.1943359375,16
63,789.2642822265625,1.0,157.1943359375,16
64,787.38916015625,1.0,157.1943359375,16
65,789.8070068359375,1.0,157.1943359375,16
66,774.5595703125,1.0,157.1943359375,16
67,774.0167846679688,1.0,157.1943359375,16
68,774.4608764648438,1.0,157.1943359375,16
69,751.5651245117188,1.0,157.1943359375,16
70,779.247314453125,1.0,157.1943359375,16
71,776.3853759765625,1.0,157.1943359375,16
72,784.7245483398438,1.0,157.1943359375,16
73,811.025146484375,1.0,157.1943359375,16
74,802.1925048828125,1.0,157.1943359375,16
75,812.30810546875,1.0,157.1943359375,16
76,814.479248046875,1.0,157.1943359375,16
77,814.6766357421875,1.0,157.1943359375,16
78,825.8778076171875,-1.0,13371.2392578125,0
79,820.3512573242188,-1.0,13371.2392578125,0
80,834.6611328125,-1.0,13371.2392578125,0
81,819.512451171875,-1.0,13371.2392578125,0
82,834.1183471679688,-1.0,13371.2392578125,0
83,838.7567749023438,-1.0,13371.2392578125,0
84,855.5831909179688,-1.0,13371.2392578125,0
85,880.600830078125,-1.0,13371.2392578125,0
86,872.3602905273438,-1.0,13371.2392578125,0
87,885.1405029296875,-1.0,13371.2392578125,0
88,885.6339721679688,-1.0,13371.2392578125,0
89,867.771240234375,-1.0,13371.2392578125,0
90,860.3202514648438,-1.0,13371.2392578125,0
91,859.185302734375,-1.0,13371.2392578125,0
92,849.8098754882812,-1.0,13371.2392578125,0
93,863.9717407226562,-1.0,13371.2392578125,0
94,874.9262084960938,1.0,247.34613037109375,15
95,878.4296264648438,1.0,247.34613037109375,15
96,870.1891479492188,1.0,247.34613037109375,15
97,876.8999633789062,1.0,247.34613037109375,15
98,859.6294555664062,1.0,247.34613037109375,15
99,851.7343139648438,1.0,247.34613037109375,15
100,832.83544921875,1.0,247.34613037109375,15
101,832.6873168945312,1.0,247.34613037109375,15
102,827.0620727539062,1.0,247.34613037109375,15
103,837.5724487304688,1.0,247.34613037109375,15
104,830.1707763671875,1.0,247.34613037109375,15
105,846.257080078125,1.0,247.34613037109375,15
106,869.0048217773438,1.0,247.34613037109375,15
107,888.5452270507812,1.0,247.34613037109375,15
108,875.3703002929688,1.0,247.34613037109375,15
109,850.10595703125,1.0,247.34613037109375,15
110,837.1283569335938,1.0,247.34613037109375,15
111,799.0344848632812,1.0,247.34613037109375,15
112,809.347412109375,1.0,247.34613037109375,15
113,819.8578491210938,1.0,247.34613037109375,15
114,815.2687377929688,1.0,247.34613037109375,15
115,815.0703125,1.0,247.34613037109375,15
116,805.0977172851562,1.0,247.34613037109375,15
117,811.299560546875,1.0,247.34613037109375,15
118,793.7360229492188,1.0,247.34613037109375,15
119,784.1107177734375,1.0,247.34613037109375,15
120,778.4546508789062,1.0,247.34613037109375,15
121,772.8978271484375,1.0,247.34613037109375,15
122,786.0457153320312,1.0,247.34613037109375,15
123,773.691650390625,1.0,247.34613037109375,15
124,763.7191162109375,1.0,247.34613037109375,15
125,781.3819580078125,1.0,247.34613037109375,15
126,794.6786499023438,1.0,247.34613037109375,15
127,786.1945190429688,-1.0,12040.263916015625,0
128,776.6189575195312,-1.0,12040.263916015625,0
129,781.77880859375,-1.0,12040.263916015625,0
130,774.6839599609375,-1.0,12040.263916015625,0
131,781.6300048828125,-1.0,12040.263916015625,0
132,782.423828125,-1.0,12040.263916015625,0
133,787.7326049804688,-1.0,12040.263916015625,0
134,780.7369384765625,-1.0,12040.263916015625,0
135,785.99609375,-1.0,12040.263916015625,0
136,793.7855834960938,-1.0,12040.263916015625,0
137,780.3400268554688,-1.0,12040.263916015625,0
138,792.2971801757812,-1.0,12040.263916015625,0
139,794.1824951171875,-1.0,12040.263916015625,0
140,781.1338500976562,-1.0,12040.263916015625,0
141,776.2716064453125,-1.0,12040.263916015625,0
